suite,id,name,desc,expected,actual,status,timestamp
Selenium Website E2E Tests,TC_SEL_1,Browser Launch,Selector: Chrome Driver | Action: Initialize headless Chrome browser,Step executes successfully in browser,Status: Pass | Error: None | Duration: 8265ms,Pass,2026-06-19T04:48:50.000Z
Selenium Website E2E Tests,TC_SEL_2,Set Window Size,Selector: Chrome Driver | Action: Set viewport to 1920x1080,Step executes successfully in browser,Status: Pass | Error: None | Duration: 45ms,Pass,2026-06-19T04:48:58.274Z
Selenium Website E2E Tests,TC_SEL_3,Clear Browser Cache,Selector: Chrome Driver | Action: Clear cookies and session storage before test run,Step executes successfully in browser,Status: Pass | Error: None | Duration: 22ms,Pass,2026-06-19T04:48:58.336Z
Selenium Website E2E Tests,TC_SEL_4,Navigate to Sign-In Page,Selector: https://ylakshmireddy.github.io/SKILLSYNCAI_PDD_SPIC7A26/auth/signin.html | Action: Open URL: https://ylakshmireddy.github.io/SKILLSYNCAI_PDD_SPIC7A26/auth/signin.html,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1674ms,Pass,2026-06-19T04:48:58.373Z
Selenium Website E2E Tests,TC_SEL_5,Verify HTTP Status 200,Selector: Network / XHR | Action: Confirm page loaded with HTTP 200 OK,Step executes successfully in browser,Status: Pass | Error: None | Duration: 12ms,Pass,2026-06-19T04:49:00.053Z
Selenium Website E2E Tests,TC_SEL_6,Verify Page Title,Selector: document.title | Action: Check page title contains 'SkillSync',Step executes successfully in browser,Status: Pass | Error: None | Duration: 13ms,Pass,2026-06-19T04:49:00.085Z
Selenium Website E2E Tests,TC_SEL_7,Verify Meta Description Present,Selector: meta[name=description] | Action: Check meta description tag exists and is non-empty,Step executes successfully in browser,Status: Pass | Error: None | Duration: 9ms,Pass,2026-06-19T04:49:00.111Z
Selenium Website E2E Tests,TC_SEL_8,Verify Favicon Present,Selector: link[rel=icon] | Action: Check favicon link tag is present in <head>,Step executes successfully in browser,Status: Pass | Error: None | Duration: 8ms,Pass,2026-06-19T04:49:00.128Z
Selenium Website E2E Tests,TC_SEL_9,Verify Sign-In Form Visible,Selector: form#signin-form | Action: Assert sign-in form element is visible in DOM,Step executes successfully in browser,Status: Pass | Error: None | Duration: 14ms,Pass,2026-06-19T04:49:00.154Z
Selenium Website E2E Tests,TC_SEL_10,Verify SkillSync Logo Displayed,Selector: img.logo | Action: Assert brand logo image is displayed in header,Step executes successfully in browser,Status: Pass | Error: None | Duration: 11ms,Pass,2026-06-19T04:49:00.185Z
Selenium Website E2E Tests,TC_SEL_11,Verify Email Label Present,Selector: label[for=email] | Action: Check 'Email' label is rendered above email input,Step executes successfully in browser,Status: Pass | Error: None | Duration: 9ms,Pass,2026-06-19T04:49:00.206Z
Selenium Website E2E Tests,TC_SEL_12,Verify Password Label Present,Selector: label[for=password] | Action: Check 'Password' label is rendered above password input,Step executes successfully in browser,Status: Pass | Error: None | Duration: 8ms,Pass,2026-06-19T04:49:00.235Z
